[2025-06-24 18:49:14,056] [INFO] [root] - Logging has been initialized.
[2025-06-24 18:49:54,320] [INFO] [root] - Shutting down logging.
[2025-06-24 18:49:54,321] [INFO] [root] - Application shutdown complete
[2025-06-24 18:49:56,381] [INFO] [root] - Logging has been initialized.
[2025-06-24 18:49:56,381] [INFO] [root] - Loaded extensions.ext_logging in 0.47ms
[2025-06-24 18:49:56,392] [INFO] [root] - Loaded extensions.ext_database in 10.71ms
[2025-06-24 18:49:56,392] [INFO] [root] - Application startup finished in 11.64ms
[2025-06-24 18:50:17,256] [INFO] [root] - Shutting down logging.
[2025-06-24 18:50:17,257] [INFO] [root] - Application shutdown complete
[2025-06-24 18:50:18,889] [INFO] [root] - Logging has been initialized.
[2025-06-24 18:50:18,891] [INFO] [root] - Loaded extensions.ext_logging in 1.92ms
[2025-06-24 18:50:18,900] [INFO] [root] - Loaded extensions.ext_database in 9.04ms
[2025-06-24 18:50:18,900] [INFO] [root] - Application startup finished in 11.30ms
[2025-06-24 18:50:18,901] [INFO] [root] - engine in lifespan: Engine(sqlite:///./database.db)
[2025-06-24 19:02:02,806] [INFO] [root] - Shutting down logging.
[2025-06-24 19:02:02,806] [INFO] [root] - Application shutdown complete
[2025-06-24 19:02:04,606] [INFO] [root] - Logging has been initialized.
[2025-06-24 19:02:04,606] [INFO] [root] - Loaded extensions.ext_logging in 0.41ms
[2025-06-24 19:02:04,617] [INFO] [root] - Loaded extensions.ext_database in 10.17ms
[2025-06-24 19:02:04,617] [INFO] [root] - Application startup finished in 11.02ms
[2025-06-24 19:02:04,617] [INFO] [root] - engine in lifespan: Engine(sqlite:///./database.db)
[2025-06-24 19:02:28,631] [INFO] [root] - Shutting down logging.
[2025-06-24 19:02:28,631] [INFO] [root] - Application shutdown complete
[2025-06-24 19:02:30,201] [INFO] [root] - Logging has been initialized.
[2025-06-24 19:02:30,202] [INFO] [root] - Loaded extensions.ext_logging in 0.42ms
[2025-06-24 19:02:30,212] [INFO] [root] - Loaded extensions.ext_database in 10.21ms
[2025-06-24 19:02:30,212] [INFO] [root] - Application startup finished in 11.01ms
[2025-06-24 19:02:30,212] [INFO] [root] - engine in lifespan: Engine(sqlite:///./database.db)
[2025-06-24 19:02:30,214] [INFO] [root] - Shutting down logging.
[2025-06-24 19:02:30,214] [INFO] [root] - Application shutdown complete
[2025-06-24 19:02:42,284] [INFO] [root] - Logging has been initialized.
[2025-06-24 19:02:42,284] [INFO] [root] - Loaded extensions.ext_logging in 0.51ms
[2025-06-24 19:02:42,294] [INFO] [root] - Loaded extensions.ext_database in 9.74ms
[2025-06-24 19:02:42,294] [INFO] [root] - Application startup finished in 10.75ms
[2025-06-24 19:02:42,294] [INFO] [root] - engine in lifespan: Engine(sqlite:///./database.db)
[2025-06-24 19:02:42,295] [INFO] [root] - Shutting down logging.
[2025-06-24 19:02:42,295] [INFO] [root] - Application shutdown complete
[2025-06-24 19:03:16,299] [INFO] [root] - Logging has been initialized.
[2025-06-24 19:03:16,299] [INFO] [root] - Loaded extensions.ext_logging in 0.56ms
[2025-06-24 19:03:16,310] [INFO] [root] - Loaded extensions.ext_database in 10.71ms
[2025-06-24 19:03:16,311] [INFO] [root] - Application startup finished in 11.89ms
[2025-06-24 19:03:16,311] [INFO] [root] - engine in lifespan: Engine(sqlite:///./database.db)
[2025-06-24 19:04:10,686] [INFO] [root] - Shutting down logging.
[2025-06-24 19:04:10,687] [INFO] [root] - Application shutdown complete
[2025-06-24 19:04:11,491] [INFO] [root] - Logging has been initialized.
[2025-06-24 19:04:11,491] [INFO] [root] - Loaded extensions.ext_logging in 0.60ms
[2025-06-24 19:04:11,505] [INFO] [root] - Loaded extensions.ext_database in 13.26ms
[2025-06-24 19:04:11,505] [INFO] [root] - Application startup finished in 14.40ms
[2025-06-24 19:04:11,505] [INFO] [root] - engine in lifespan: Engine(sqlite:///./database.db)
[2025-06-24 19:04:35,802] [INFO] [root] - Shutting down logging.
[2025-06-24 19:04:35,802] [INFO] [root] - Application shutdown complete
[2025-06-24 19:04:36,629] [INFO] [root] - Logging has been initialized.
[2025-06-24 19:04:36,629] [INFO] [root] - Loaded extensions.ext_logging in 0.50ms
[2025-06-24 19:04:36,640] [INFO] [root] - Loaded extensions.ext_database in 10.83ms
[2025-06-24 19:04:36,640] [INFO] [root] - Application startup finished in 11.73ms
[2025-06-24 19:04:36,641] [INFO] [root] - engine in lifespan: Engine(sqlite:///./database.db)
[2025-06-24 19:04:54,889] [INFO] [root] - Shutting down logging.
[2025-06-24 19:04:54,890] [INFO] [root] - Application shutdown complete
[2025-06-24 19:05:31,396] [INFO] [root] - Logging has been initialized.
[2025-06-24 19:05:31,396] [INFO] [root] - Loaded extensions.ext_logging in 0.51ms
[2025-06-24 19:05:31,407] [INFO] [root] - Loaded extensions.ext_database in 10.50ms
[2025-06-24 19:05:31,407] [INFO] [root] - Application startup finished in 11.62ms
[2025-06-24 19:05:31,408] [INFO] [root] - engine in lifespan: Engine(sqlite:///./database.db)
[2025-06-24 19:06:11,177] [INFO] [root] - Shutting down logging.
[2025-06-24 19:06:11,177] [INFO] [root] - Application shutdown complete
[2025-06-24 19:06:11,945] [INFO] [root] - Logging has been initialized.
